X,Y,OBJECTID,Facility,County,Address,City,ZipCode,Type,ResidentialWellsSampled,SiteLead,SiteLeadEmail,SiteLeadPhone,Hyperlink,Longitude,Latitude,FacilityDate
486802.600990339,143351.776914029,22,M-60 Tanker Spill,Cass,2900 Pine Lake Street,Niles,49120,Fire Related,Yes,"Donovan Thomas
","ThomasD38@Michigan.gov 
","269-615-4451

",https://www.michigan.gov/pfasresponse/investigations/sites-aoi/cass-county/m-60-tanker-spill,-86.158,41.84061,2018/03/12 00:00:00+00
539600.945073353,308926.152039682,23,Central Sanitary Landfill,Montcalm,21545 W Cannonsville Road,Pierson,49339,Landfill,Yes,Kent Walters,WaltersK7@Michigan.gov ,616-278-4350,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/montcalm-county/central-sanitary-landfill,-85.50977398,43.33037523,2018/05/02 00:00:00+00
546099.579955886,203094.879971429,24,North 34th Street,Kalamazoo,9899 East D Ave,Richland,49083,Industrial,Yes,Rachel Golota,GolotaR@Michigan.gov,269-370-2404,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/north-34th-street,-85.43879246,42.37701665,2018/06/27 00:00:00+00
525223.509176224,456823.380351133,25,Carl's Retreading,Grand Traverse,5175 Sawyer Woods Drive,Traverse City,49685,Fire Related,Yes,David Maynard,MaynardD@Michigan.gov,231-429-1656,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/grand-traverse-county/carls-retreading,-85.67982625,44.66259046,2018/07/23 00:00:00+00
534983.078264101,199299.27311511,26,Crown Vantage Property,Kalamazoo,100 Island Avenue (multiple addresses),Parchment,49004,Landfill,Yes,Rachel Golota,GolotaR@Michigan.gov,269-370-2404,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/crown-vantage-property,-85.57406045,42.34346935,2018/09/04 00:00:00+00
703950.742513632,290112.096496255,27,Richfield Landfill,Genesee,11145 East Mt Morris Rd,Davison,48423,Landfill,Yes,Evin Maguire,MaguireE@Michigan.gov ,517-388-3525,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/genesee-county/richfield-landfill,-83.49033534,43.13406472,2017/11/03 00:00:00+00
688433.5204362,279384.558611005,28,RACER Buick City,Genesee,902 East Leith St,Flint,48505,Industrial,No,Nicole Sanabria,SanabriaN@Michigan.gov,517-281-7726,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/genesee-county/racer-buick-city,-83.68471157,43.04157036,2018/09/17 00:00:00+00
511661.98050945,366881.065851687,29,Wash King Laundry,Lake,9247 South M-37,Baldwin,49304,Laundromat/Dry Cleaner,Yes,Mark Riemann,ReimannM@michigan.gov,517-290-9379,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lake-county/wash-king-laundry,-85.85299967,43.85319927,2018/10/17 00:00:00+00
537731.589157145,264974.744128498,30,Lacks Industries - Cascade,Kent,1601 Galbraith Ave SE,Grand Rapids,49546,Plating,Yes,Nicole Sanabria,SanabriaN@Michigan.gov,517-281-7726,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/lacks-industries-cascade,-85.53598708,42.934722,2018/10/17 00:00:00+00
473684.933896066,410847.037976078,31,Manistee Plating,Manistee,259 Sixth Ave,Manistee,49660,Plating,No,Brandi Wheeler,WheelerB5@Michigan.gov,231-878-8066,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/manistee-county/manistee-plating,-86.32762564,44.24867952,2018/10/17 00:00:00+00
759447.036404731,233444.646140252,32,Selfridge ANGB,Macomb,"No address - ANG base
",Harrison Charter Township,48045,Military,Yes,Christine Matlock,MatlockC2@Michigan.gov,517-290-4612,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/macomb-county/selfridge-air-national-guard-base-angb,-82.83496906,42.60713708,2018/10/29 00:00:00+00
608962.095566107,305404.874859395,33,Ithaca Sanitary Landfill,Gratiot,West Washington Road,Ithaca,48847,Landfill,Yes,Emily Peabody,PeabodyE@Michigan.gov,517-388-5719,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/gratiot-county/ithaca-sanitary-landfill,-84.65502208,43.29165207,2018/10/29 00:00:00+00
631343.410657689,190485.352307256,34,Michner Plating - Mechanic Street,Jackson,506 North Mechanic Street,Jackson,48912,Plating,No,Shelby Bahaw,BahawS@Michigan.gov,517-388-4899,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/jackson-county/michner-plating,-84.406515,42.253322,2018/12/12 00:00:00+00
711831.869348032,206225.712300563,35,RACER Eckles Road,Wayne,"12950 Eckles Road
",Livonia,48150,Industrial,No,Oonagh McKenna,McKennaO@Michigan.gov,517-643-5324,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/wayne-county/racer-12950-eckles-rd,-83.42534,42.37688,2018/12/12 00:00:00+00
682298.565286144,271341.693209024,36,Flint Bishop International Airport Landfill,Genesee,G-3425 West Bristol Road,Flint,48507,Landfill,Yes,Brian Kuberski,KuberskiB@Michigan.gov,517-243-7574,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/genesee-county/city-of-flint-landfill-at-bishop-international-airport,-83.76265803,42.97068965,2019/01/17 00:00:00+00
538690.107290392,259589.602895428,37,Gerald R. Ford International Airport,Kent,"5500 44th Street SW
",Grand Rapids,49512,Airport,Yes,Brent Ritchie,Ritchieb1@michigan.gov,616-581-1782,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/gerald-r-ford-international-airport,-85.524636,42.88618,2019/01/17 00:00:00+00
565822.025428535,264781.049019718,38,Lacks Industries - Saranac,Ionia,6138 Riverside Drive,Saranac,48881,Plating,Yes,Nicole Sanabria,SanabriaN@Michigan.gov,517-281-7726,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ionia-county/lacks-industries-saranac,-85.191771,42.9309781,2019/01/17 00:00:00+00
669418.123637904,230143.158666683,39,Diamond Chrome Plating,Livingston,604 S. Michigan Avenue,Howell,48843,Plating,Yes,Emily Peabody,PeabodyE@Michigan.gov,517-388-5719,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/livingston-county/diamond-chrome-plating-dcp,-83.933129,42.602822,2019/01/17 00:00:00+00
610393.138104532,315105.775105373,40,MRP (former Total Petroleum Refinery),Gratiot,1610 East Superior Street,Alma,48801,Refinery,Yes,Marc Messina,MessinaM@Michigan.gov,517-219-2394,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/gratiot-county/mrp-properties,-84.6354,43.37878,2019/02/15 00:00:00+00
557006.728706397,233371.100254592,41,Viking Corporation,Barry,210 North Industrial Park Drive,Hastings,49058,Fire Related,No,Lynn Gosson,gossonl@michigan.gov,989-225-0161,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/barry-county/viking-corporation,-85.303125,42.648879,2019/02/15 00:00:00+00
682966.589044048,181332.070472316,42,Washtenaw Industrial Facility LLC (former Universal Die Cast),Washtenaw,232 and 290 Monroe Street,Saline,48176,Plating,Yes,Sam Cairns,cairnss2@michigan.gov,517-898-4058,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/washtenaw-county/washtenaw-industrial-facility,-83.78386,42.16024,2019/02/15 00:00:00+00
787390.52246879,282945.626300694,43,Fort Gratiot Landfill,St. Clair,3290 Keewahdin Road,Fort Gratiot Township,48059,Landfill,Yes,Emily Ebaugh,EbaughE@Michigan.gov,586-255-2935,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/st-clair-county/fort-gratiot-landfill,-82.469256,43.042372,2019/02/28 00:00:00+00
736789.301614085,215929.553054318,44,MacDermind Inc.,Oakland,1221 Farrow Street,Ferndale,48220,Industrial,No,Tianna Kilgore,KilgoreT@Michigan.gov,517-230-4395,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/oakland-county/macdermid-inc,-83.11834,42.45689,2019/02/28 00:00:00+00
482935.922141013,296056.967661382,45,"MAHLE Engine Components, USA, Inc. - Former Harvey Street Muskegon Plant",Muskegon,2051 South Harvey Street,Muskegon,49444,Industrial,N/A,Peter Van Heest,VanHeestP@Michigan.gov ,616-439-8019,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/muskegon-county/mahle-engine-components,-86.20833,43.21548,2019/02/28 00:00:00+00
738657.991092436,198862.034799299,46,Gordie Howe International Bridge,Wayne,Livernois Ave and W. Jefferson Ave,Detroit,48209,Industrial,No,Erik Gurshaw,GurshawE@Michigan.gov,586-291-3418,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/wayne-county/gordie-howe-international-bridge,-83.102806,42.302707,2019/04/04 00:00:00+00
605809.74363822,460207.897211817,47,Camp Grayling – MATES at Range 30,Crawford,2450 W. North Down River Rd,Grayling,49738,Military,Yes,Christiaan Bon,BonC@Michigan.gov,989-370-9624,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/crawford-county/camp-grayling-mates,-84.662739,44.685681,2019/04/04 00:00:00+00
493326.3797625,245604.730548111,48,636 40th Street East ,Allegan,636 East 40th Street,Holland,49423,Industrial,Yes,Ray Spaulding,SpauldingR1@Michigan.gov,517-290-2401,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/allegan-county/636-40th-street-east,-86.080007,42.761355,2019/04/04 00:00:00+00
684527.692833557,183064.199931091,49,Ford Motor Company – Saline Plant,Washtenaw,7700 Michigan Avenue,Saline,48176,Industrial,No,Nicole Sanabria,SanabriaN@Michigan.gov,517-281-7726,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/washtenaw-county/ford-saline-plant,-83.76441,42.17546,2019/05/16 00:00:00+00
521986.212978553,262065.900146088,50,Electro Chemical Finishing - Remico,Kent,2610 Remico Street SW,Wyoming,49519,Plating,N/A,Brent Ritchie,ritchieb1@michigan.gov,616-581-1782,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/electro-chemical-finishing-remico,-85.72907,42.909196,2019/05/16 00:00:00+00
481741.376593548,294895.786407528,51,Peerless Plating,Muskegon,2554 Getty Avenue,Muskegon,49444,Plating,No,Nicolas Dawson,DawsonN1@Michigan.gov ,517-897-0912,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/muskegon-county/peerless-plating,-86.223,43.205,2019/05/17 00:00:00+00
708066.130017665,442654.399463744,52,Oscoda Township Dump,Iosco,Kings Corner Road,Oscoda ,48750,Landfill,Yes,Megan Berry,BerryM5@Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.38028336,44.50543233,2019/05/30 00:00:00+00
554652.100179139,279525.101744656,53,Ashley Avenue Disposal Area,Kent,Corner of Ashley Ave and 6 Mile Rd,Grattan,48809,Landfill,Yes,Leah Gies,GiesL1@Michigan.gov,616-215-4781,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/ashley-avenue-disposal-area,-85.32714363,43.06466081,2019/06/13 00:00:00+00
545230.05986615,162626.850536155,54,Lear Siegler Inc.,St. Joseph ,236 West Clark Street,Mendon,49072,Industrial,Yes,Ray Spaulding,SpauldingR1@Michigan.gov ,517-290-2401,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/st-joseph-county/lear-siegler-inc,-85.452788,42.012649,2019/06/13 00:00:00+00
700151.568935391,190302.713109787,55,RACER Willow Run,Washtenaw,2930 Ecorse Rd,Ypsilanti,48198,Industrial,No,Ashley Lesser,LesserA@Michigan.gov,517-285-6324,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/washtenaw-county/racer-willow-run,-83.572771,42.236694,2019/06/13 00:00:00+00
493161.866478878,270655.008325526,56,120th Avenue Area,Ottawa,Area around Robinson Elementary School,Grand Haven,49417,Fire Related,Yes,Kelly Moss,MossK@michigan.gov,616-215-4588,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ottawa-county/120th-avenue-area,-86.08222,42.986905,2019/06/13 00:00:00+00
683853.75031894,220613.515278459,57,Thermofil,Livingston,6150 Whitmore Lake Road,Brighton,48116,Industrial,Yes,Emily Peabody,PeabodyE@Michigan.gov,517-388-5719,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/livingston-county/thermofil,-83.760346,42.513666,2019/07/01 00:00:00+00
535896.768796325,279185.606741761,58,Northeast Gravel,Kent,3769 Cannonsburg Road NE,Belmont,49306,Landfill,Yes,Karen Vorce,VorceK@Michigan.gov,616-439-8008,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/northeast-gravel,-85.5575,43.06277778,2019/07/01 00:00:00+00
525294.209107809,264912.877083657,59,BASF Corporation – Inmont Division,Kent,836 Chicago Drive SW,Wyoming,49519,Industrial,No,Brent Ritchie,ritchieb1@michigan.gov,616-581-1782,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/basf-corporation-inmont-division,-85.688408,42.934718,2019/07/01 00:00:00+00
485670.290362169,183379.091133824,60,Du-Wel Metals,Van Buren,520 Heywood Street,Hartford,49057,Plating,Yes,Ray Spaulding,SpauldingR1@Michigan.gov ,517-290-2401,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/van-buren-county/du-wel-metals,-86.172332,42.201002,2019/07/02 00:00:00+00
482470.822476623,295419.379699649,61,Former ESCO,Muskegon,1221 E. Barney,Muskegon,49444,Industrial ,No,Peter Van Heest,VanHeestP@Michigan.gov,616-439-8019,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/muskegon-county/former-esco,-86.21404,43.20973,2019/08/01 00:00:00+00
583449.262999906,337847.634983148,62,Isabella County Landfill,Isabella,West Tomah Road,Mount Pleasant,48858,Landfill,No,Lori Babcock,BabcockL4@Michigan.gov,989-460-7352 ,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/isabella-county/isabella-county-landfill,-84.964439,43.587081,2019/08/15 00:00:00+00
603647.699025201,247647.929152359,63,"Grand Ledge Army Aviation Support
Facility and Armory Site",Clinton,10600 W. Eaton Highway,Grand Ledge,48837,Military,Yes,Kim Sakowski,SakowskiK@Michigan.gov,517-582-2219,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/clinton-county/grand-ledge-armory,-84.73151667,42.772375,2019/09/06 00:00:00+00
498507.313835615,298444.719862414,64,Muskegon County Landfill Type II,Muskegon,9366 Apple Ave,Ravenna,49451,Landfill,No,Kent Walters,WaltersK7@Michigan.gov ,616-278-4350,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/muskegon-county/muskegon-county-landfill-type-ii,-86.01664,43.237135,2019/09/24 00:00:00+00
566436.871237438,283885.897154969,65,Pitsch Sanitary Landfill,Ionia,7905 Johnson Road,Belding,48809,Landfill,No,Kent Walters,WaltersK7@Michigan.gov ,616-278-4350,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ionia-county/pitsch-sanitary-landfill,-85.18187,43.102954,2019/10/10 00:00:00+00
719511.877522123,153849.192027777,66,Ford River Raisin Warehouse,Monroe,3200 East Elm Avenue,Monroe,48162,Industrial,No,Christine Matlock,MatlockC2@Michigan.gov,517-290-4612,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/monroe-county/ford-river-raisin-warehouse,-83.35222,41.90325,2019/10/10 00:00:00+00
528624.631167708,264924.285184316,67,Cottage Grove and Marshall Area,Kent,"800 Block of Cottage Grove Street, SE and 1500 Block of Marshall Avenue, SE",Grand Rapids,49507,Plating,N/A,Brent Ritchie,ritchieb1@michigan.gov,616-581-1782,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/cottage-grove-and-marshall-area,-85.647594,42.934692,2019/10/25 00:00:00+00
532446.427400154,261887.171752607,68,Former Keeler Brass – 32nd Street,Kent,"2929 32nd Street, SE",Kentwood,49512,Plating,N/A,Brent Ritchie,Ritchieb1@michigan.gov,616-581-1782,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/former-keeler-brass-32nd-street,-85.600948,42.90718,2019/10/25 00:00:00+00
647549.667867308,273514.450750182,69,Partz Corporation,Shiawassee,1232 W. Main Street,Owosso,48867,Plating,N/A,Jessica Tashman,TashmanJ@Michigan.gov,517-245-3931,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/shiawassee-county/partz-corporation,-84.18808,42.99789,2019/10/25 00:00:00+00
618024.911995055,636117.300633854,70,Former Kincheloe Air Force Base,Chippewa,,,49788,Military,Yes,Ashley Miller/Bill Harmon,MillerA65@Michigan.gov,906-235-7435,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/chippewa-county/kincheloe-air-force-base,-84.4664,46.2666,2019/11/05 00:00:00+00
678618.790075345,199551.128899113,71,Former Chrysler Scio Introl Division Site,Washtenaw,2880 Zeeb Road,Dexter,48130,Industrial,Yes,Joseph Rogers,RogersJ5@Michigan.gov,517-555-5312,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/washtenaw-county/chrysler-scio-introl-division,-83.830729,42.325297,2019/11/05 00:00:00+00
598234.374634298,341052.959646712,72,Mt. Pleasant City Landfill,Isabella,1301 North Franklin Street,Mount Pleasant,48858,Landfill,No,Larry Engelhart,EngelhartL@Michigan.gov ,989-891-6946,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/isabella-county/mt-pleasant-city-landfill,-84.7807222,43.6141083,2019/11/13 00:00:00+00
533362.331298575,181593.459629235,73,Portage Former Landfill and Firefighter Training Facility,Kalamazoo,South Westnedge,Portage,49002,Fire Related,Yes,Erica Bays,BaysE@Michigan.gov,269-350-0080,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/portage-former-landfill-ftf,-85.594872,42.184107,2020/01/24 00:00:00+00
668766.987659553,337454.249249758,74,Middleground Landfill,Bay,Middleground Island,Bay City,48706,Landfill,No,Loren Curtis,CurtisL@Michigan.gov ,989-274-0614,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/bay-county/middleground-landfill,-83.90805,43.56895,2020/01/21 00:00:00+00
536935.531969273,193055.003192781,75,Georgia Pacific Corporation,Kalamazoo,2425 King Highway,Kalamazoo,49048,Paper Manufacturing,N/A,Erica Bays,BaysE@Michigan.gov,269-350-0080,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/georgia-pacific-corporation,-85.5508,42.28714,2020/02/07 00:00:00+00
480429.429302066,290345.303923942,76,Muskegon County Airport Area,Muskegon,99 Sinclair Dr,Muskegon,49441,Airport,Yes,Peter Van Heest,VanHeestP@Michigan.gov ,616-439-8019,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/muskegon-county/muskegon-county-airport-area,-86.239,43.164,2020/01/07 00:00:00+00
536910.54390884,192940.907714225,77,Nolichucky Industrial Corp.,Kalamazoo,"2305 King Highway
",Kalamazoo,49048,Paper Manufacturing,N/A,Erica Bays,BaysE@Michigan.gov,269-350-0080,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/nolichucky-industrial-corp,-85.55111111,42.28611389,2019/05/30 00:00:00+00
473868.588723307,317974.830224035,78,White Lake Landfill ,Muskegon ,3278 Colby Road ,Whitehall,49461,Landfill,No,Kent Walters,WaltersK7@Michigan.gov ,616-278-4350,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/muskegon-county/white-lake-landfill,-86.320933,43.412571,2020/02/24 00:00:00+00
527508.415215738,269497.752908089,79,Hoff Industries,Kent,719 Prospect Ave. NE,Grand Rapids,49503,Plating,No,Jason Poll,PollJ@Michigan.gov,616-446-1263 ,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/hoff-industries,-85.661029,42.975919,2020/02/26 00:00:00+00
712337.446375679,431836.974221974,80,AuSable Twp Smith Street Area,Iosco,US-23 & Smith St. Vicinity,AuSable Township,48750,Unknown,Yes,Megan Berry,BerryM5@Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.331022,44.406886,2020/02/26 00:00:00+00
527302.359533969,219499.667395368,81,Watson Township Dump,Allegan,115th Avenue,Martin,49070,Landfill,Yes,Ray Spaulding,SpauldingR1@Michigan.gov ,517-290-2401,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/allegan-county/watson-township-dump,-85.66621351,42.5257141,2020/02/24 00:00:00+00
598046.853377227,363773.34849875,82,Clare Water Supply Superfund Site,Clare,Clare Industrial Park,Clare,48617,Plating,Yes,Beth Mead-O’Brien,OBriene1@Michigan.gov,517-242-7829,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/clare-county/clare-water-supply-superfund-site,-84.778854,43.818683,2020/03/12 00:00:00+00
523403.29579122,192584.52022112,83,West KL Avenue Landfill,Kalamazoo,8606 West KL Avenue,Kalamazoo,49009,Landfill,No,Wally Wagaw,WagawW@Michigan.gov ,517-648-1540,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kalamazoo-county/west-kl-avenue-landfill,-85.714938,42.283493,2020/03/12 00:00:00+00
463718.087804605,172651.921745051,84,Harbor Plating,Berrien,724 South Fair Street,Benton Harbor,49022,Plating,No,"Pablo Mora
","MoraP@Michigan.gov
","269-910-0136
",https://www.michigan.gov/pfasresponse/investigations/sites-aoi/berrien-county/harbor-plating,-86.43755178,42.10381271,2020/03/12 00:00:00+00
739723.349966631,252840.504829748,85,Walker Landfill,Macomb,5001 31 Mile Road,Washington,48095,Landfill,No,Cynthia Paslawski,PaslawskiC@Michigan.gov,586-668-6433,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/macomb-county/walker-landfill,-83.06694444,42.78813333,2020/03/12 00:00:00+00
